""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"13746"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13747"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"13748"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13749"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13750"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13751"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13752"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13753"	NA	NA	NA	NA	NA	NA	NA
"13754"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13755"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13756"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13757"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13758"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13759"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	NA	NA	NA	NA
"13760"	"Bacteria"	"Myxococcota"	"Polyangia"	NA	NA	NA	NA
"13761"	"Bacteria"	"Bacteroidota"	"Kryptonia"	"Kryptoniales"	"BSV26"	NA	NA
"13762"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13763"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13764"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13765"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13766"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13767"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13768"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13769"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13770"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13771"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13772"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
